priority,slug,url,impressions,clicks,ctr,avg_position,action
P1,oldest-universities,https://www.slowmorocco.com/stories/oldest-universities,6775,2,0.03%,7.4,rewrite (snippet bleeder)
P1,moroccan-dirham-currency,https://www.slowmorocco.com/stories/moroccan-dirham-currency,5764,16,0.28%,12.5,rewrite (snippet bleeder)
P1,the-green-march,https://www.slowmorocco.com/stories/the-green-march,3267,0,0.00%,7.8,rewrite-priority (zero clicks)
P1,dynasty-timeline,https://www.slowmorocco.com/stories/dynasty-timeline,2955,7,0.24%,5.2,rewrite (snippet bleeder)
P1,wildlife-atlas-morocco,https://www.slowmorocco.com/stories/wildlife-atlas-morocco,2909,7,0.24%,9.6,rewrite (snippet bleeder)
P1,amazigh-identity-map,https://www.slowmorocco.com/stories/amazigh-identity-map,2811,8,0.28%,9.1,rewrite (snippet bleeder)
P1,automotive-industry,https://www.slowmorocco.com/stories/automotive-industry,2323,1,0.04%,6.3,rewrite (snippet bleeder)
P1,the-khettara,https://www.slowmorocco.com/stories/the-khettara,1824,8,0.44%,5.5,review-and-rewrite
P1,the-battle-of-three-kings,https://www.slowmorocco.com/stories/the-battle-of-three-kings,1763,3,0.17%,7.0,rewrite (snippet bleeder)
P1,dirhams-journey,https://www.slowmorocco.com/stories/dirhams-journey,1545,0,0.00%,5.6,rewrite-priority (zero clicks)
P2,moroccan-genome,https://www.slowmorocco.com/stories/moroccan-genome,1483,7,0.47%,6.2,review-and-rewrite
P2,world-cup-blueprint,https://www.slowmorocco.com/stories/world-cup-blueprint,1450,7,0.48%,4.8,review-and-rewrite
P2,water-crisis-morocco,https://www.slowmorocco.com/stories/water-crisis-morocco,1407,3,0.21%,4.4,rewrite (snippet bleeder)
P2,morocco-economy,https://www.slowmorocco.com/stories/morocco-economy,1308,1,0.08%,10.2,rewrite (snippet bleeder)
P2,twelve-dynasties,https://www.slowmorocco.com/stories/twelve-dynasties,1307,1,0.08%,6.5,rewrite (snippet bleeder)
P2,amazigh-identity,https://www.slowmorocco.com/stories/amazigh-identity,1256,0,0.00%,6.3,rewrite-priority (zero clicks)
P2,french-protectorate,https://www.slowmorocco.com/stories/french-protectorate,1184,2,0.17%,7.3,rewrite (snippet bleeder)
P2,imperial-cities-deep,https://www.slowmorocco.com/stories/imperial-cities-deep,1162,0,0.00%,11.5,rewrite-priority (zero clicks)
P2,morocco-population,https://www.slowmorocco.com/stories/morocco-population,1087,0,0.00%,9.2,rewrite-priority (zero clicks)
P2,moroccan-music-traditions,https://www.slowmorocco.com/stories/moroccan-music-traditions,1025,5,0.49%,6.9,review-and-rewrite
P3,the-alphabet-in-stone,https://www.slowmorocco.com/stories/the-alphabet-in-stone,972,2,0.21%,7.0,rewrite (snippet bleeder)
P3,gates-of-marrakech,https://www.slowmorocco.com/stories/gates-of-marrakech,960,3,0.31%,6.5,review-and-rewrite
P3,demographic-atlas,https://www.slowmorocco.com/stories/demographic-atlas,943,1,0.11%,5.4,rewrite (snippet bleeder)
P3,zaouia-map,https://www.slowmorocco.com/stories/zaouia-map,909,2,0.22%,7.7,rewrite (snippet bleeder)
P3,the-atlantic-spine,https://www.slowmorocco.com/stories/the-atlantic-spine,908,0,0.00%,6.5,rewrite-priority (zero clicks)
P3,phosphate-kingdom,https://www.slowmorocco.com/stories/phosphate-kingdom,883,0,0.00%,7.1,rewrite-priority (zero clicks)
P3,islamic-spain,https://www.slowmorocco.com/stories/islamic-spain,878,0,0.00%,9.1,rewrite-priority (zero clicks)
P3,seven-saints-marrakech,https://www.slowmorocco.com/stories/seven-saints-marrakech,876,3,0.34%,7.6,review-and-rewrite
P3,ottoman-north-africa,https://www.slowmorocco.com/stories/ottoman-north-africa,797,3,0.38%,6.6,review-and-rewrite
P3,the-lila,https://www.slowmorocco.com/stories/the-lila,766,2,0.26%,6.1,rewrite (snippet bleeder)
P3,not-all-desert-is-sand,https://www.slowmorocco.com/stories/not-all-desert-is-sand,761,3,0.39%,5.4,review-and-rewrite
P3,musical-traditions,https://www.slowmorocco.com/stories/musical-traditions,749,0,0.00%,6.4,rewrite (snippet bleeder)
P3,the-free-people,https://www.slowmorocco.com/stories/the-free-people,738,2,0.27%,7.0,rewrite (snippet bleeder)
P3,why-the-tea-is-poured-from-a-height,https://www.slowmorocco.com/stories/why-the-tea-is-poured-from-a-height,706,3,0.42%,5.3,review-and-rewrite
P3,morocco-tourism-statistics,https://www.slowmorocco.com/stories/morocco-tourism-statistics,705,0,0.00%,4.9,rewrite (snippet bleeder)
P3,jewish-heritage-morocco,https://www.slowmorocco.com/stories/jewish-heritage-morocco,649,0,0.00%,9.6,rewrite (snippet bleeder)
P3,port-strategy,https://www.slowmorocco.com/stories/port-strategy,615,2,0.33%,6.2,review-and-rewrite
P3,moroccan-tea,https://www.slowmorocco.com/stories/moroccan-tea,611,3,0.49%,6.5,review-and-rewrite
P3,the-pottery-of-tamegroute,https://www.slowmorocco.com/stories/the-pottery-of-tamegroute,563,2,0.36%,8.1,review-and-rewrite
P3,marriages-divorces-morocco,https://www.slowmorocco.com/stories/marriages-divorces-morocco,559,2,0.36%,4.0,review-and-rewrite
P3,the-ship-of-the-desert,https://www.slowmorocco.com/stories/the-ship-of-the-desert,552,1,0.18%,7.4,rewrite (snippet bleeder)
P3,the-blue-city,https://www.slowmorocco.com/stories/the-blue-city,551,1,0.18%,10.7,rewrite (snippet bleeder)
P3,the-lotus-eaters,https://www.slowmorocco.com/stories/the-lotus-eaters,545,1,0.18%,14.1,rewrite (snippet bleeder)
P3,tourism-flow-morocco,https://www.slowmorocco.com/stories/tourism-flow-morocco,526,0,0.00%,5.7,rewrite (snippet bleeder)
P3,the-pashas-betrayal,https://www.slowmorocco.com/stories/the-pashas-betrayal,523,2,0.38%,6.4,review-and-rewrite
P3,yennayer,https://www.slowmorocco.com/stories/yennayer,520,0,0.00%,7.2,rewrite (snippet bleeder)
P3,the-draa,https://www.slowmorocco.com/stories/the-draa,513,2,0.39%,7.8,review-and-rewrite
P3,solar-atlas,https://www.slowmorocco.com/stories/solar-atlas,513,1,0.19%,6.2,rewrite (snippet bleeder)
